Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
0, 49.9, 0.3323547, 0.5601379, 1.657278, 0.595247, -0.005127567, 0.008681722, -0.09458774
1, 99.8, 0.3842145, 2.127678, 1.032905, 0.105748, -0.01830991, -0.02205536, 0.07264709
2, 149.7, 0.4461409, 0.2693691, 0.8338888, 0.1840499, 0.001617887, -0.01445272, 0.02515036
3, 199.6, 0.4807727, 0.3299287, 0.6184517, 0.1814105, -0.004406516, 0.04998284, 0.01647723
4, 249.5, 0.6291034, 0.08882876, 0.3493608, 0.01146229, -0.001748631, 0.002493619, 0.002594674
5, 299.4, 0.5953704, 0.1717854, 0.03814895, 0.00691433, -0.0003267768, -0.002776881, 0.0003229072
6, 349.3, 0.6156216, 0.03011658, 0.06510762, 0.05273377, 0.0003035197, -0.0009243802, -0.004609568
7, 399.2, 0.574361, 0.2169711, 0.3379313, 0.01825274, -0.001405142, 0.03911775, -0.001403887
8, 449.1, 0.6535563, 0.0241169, 0.03585609, 0.004999282, -0.0008938992, -0.0001140203, 0.003561912
9, 499, 0.6140434, 0.02307091, 0.02136277, 0.009774348, 0.0009900929, -2.680405E-06, 0.0001482683
10, 548.9, 0.639077, 0.02809871, 0.02450568, 0.02260815, -0.00110919, -0.001845109, 0.00694738
11, 598.8, 0.5954775, 0.04800762, 0.01845629, 0.002409862, 0.00406897, 6.150284E-05, 0.001446383
12, 648.7, 0.5783221, 0.1557234, 0.06417935, 0.01054689, -0.0001681444, -0.007296169, -0.0001640969
13, 698.6, 0.6179486, 0.02282174, 0.04479698, 0.02178938, -0.001435317, -0.003093946, 0.001590682
14, 748.5, 0.6151951, 0.6454328, 0.3614368, 0.06537937, 0.02316182, 0.04927314, 0.03634433
15, 798.4, 0.649841, 0.02956067, 0.2024443, 0.001624191, 0.005310582, 0.0002108409, -8.09523E-05
16, 848.3, 0.6241598, 0.1035785, 0.3636504, 0.01768587, -0.002778159, -0.0005006683, -0.008547221
17, 898.2, 0.5542169, 0.1732819, 0.0461716, 0.00918486, 0.00119915, 0.003469414, -0.003871381
18, 948.1, 0.5806389, 0.2049288, 0.2941266, 0.03533343, -0.006031943, 0.0004407779, -0.04155648
19, 998, 0.6134002, 0.03058543, 0.183743, 0.002273827, 0.00260128, -6.549129E-06, -0.0001340117
20, 1047.9, 0.6824821, 0.03798464, 0.01022745, 0.0004298165, 0.001785742, 1.734031E-05, 7.254437E-05
21, 1097.8, 0.6379356, 0.09918413, 0.1104348, 0.007467302, -0.001292051, 0.005196954, -0.00100406
22, 1147.7, 0.7878076, 0.03077762, 0.003214658, 0.0001894233, 6.65202E-05, -2.74265E-05, -6.58837E-06
23, 1197.6, 0.6638498, 0.01640686, 0.005066404, 0.002888814, 0.001985047, 0.000307848, 0.000804001
24, 1247.5, 0.7230873, 0.05110569, 0.005358, 0.0004096707, -0.001592726, -2.75021E-05, -2.198558E-05
25, 1297.4, 0.7438763, 0.0601671, 0.006028364, 0.000626436, 0.001458112, 3.275285E-05, -5.003281E-05
26, 1347.3, 0.6501576, 0.05762881, 0.01910034, 0.00205333, -0.001427952, 0.0003190037, 0.0006912429
27, 1397.2, 0.6831209, 0.02090242, 0.1277385, 0.0004329789, -7.02614E-05, -6.556281E-05, 5.195257E-05
28, 1447.1, 0.7130981, 0.02855728, 0.00535925, 0.0008321824, 3.855419E-05, -0.0001635739, 0.0002730663
29, 1497, 0.6603296, 0.04027729, 0.2395986, 0.001023312, 0.0001290143, 0.000932347, -0.0002357711
30, 1546.9, 0.6525528, 0.05542746, 0.01526776, 0.001004592, -0.001971853, 3.371083E-05, 0.0003412493
31, 1596.8, 0.6377778, 0.05368973, 0.1836354, 0.001439782, 1.609324E-05, 4.419797E-05, -0.0002883591
32, 1646.7, 0.6271313, 0.05460403, 0.05078532, 0.01336604, 0.002231807, 0.0003063672, -0.0002747775
33, 1696.6, 0.7333513, 0.02864684, 0.006314096, 0.0006529379, 0.003602433, 3.736354E-05, -6.405272E-05
34, 1746.5, 0.6992888, 0.03286033, 0.01079485, 0.001751244, -0.007055593, -5.914028E-06, 0.0001877237
35, 1796.4, 0.6894244, 0.07250132, 0.06979721, 0.01567269, -0.0005354856, -0.006788171, -0.005162651
36, 1846.3, 0.6645184, 0.032774, 0.3422779, 0.004808472, -0.004184913, -0.0008285965, 0.0004404027
37, 1896.2, 0.6410078, 0.04961508, 0.08751534, 0.005945561, -0.001712259, 0.001828615, 0.0002454507
38, 1946.1, 0.6656526, 0.04006973, 0.01435386, 0.001412416, -0.002817045, -1.486203E-05, 0.001063364
39, 1996, 0.6775939, 0.0928071, 0.3399307, 0.01627189, 0.001824831, 0.002102653, 0.002009175
40, 2045.9, 0.672718, 0.02796353, 0.2282803, 0.003731458, 0.0004087585, 0.0006266562, 0.0001298917
41, 2095.8, 0.7538589, 0.04099586, 0.01148234, 0.002189857, 0.0003277049, -0.001506709, 9.879535E-05
42, 2145.7, 0.7182999, 0.01929482, 0.009685311, 0.004194302, 0.004700432, -0.00019408, 0.002066369
43, 2195.6, 0.7092902, 0.01222091, 0.01150993, 0.002783434, -0.001973438, -0.0008020232, 0.0003431322
44, 2245.5, 0.6650012, 0.03748079, 0.006648905, 0.0009409084, -0.0007934049, 2.912113E-05, 1.408112E-05
45, 2295.4, 0.6553315, 0.02392501, 0.02230481, 0.002264313, 0.0008971456, -0.0002679945, 0.0001647835
46, 2345.3, 0.7135937, 0.01846306, 0.006271124, 0.0008957963, -0.0006000037, -1.344596E-05, 4.175354E-05
47, 2395.2, 0.6953806, 0.04203252, 0.02869384, 0.001966968, -0.01062487, 0.0001883709, 0.0002047263
48, 2445.1, 0.6785195, 0.01646781, 0.02099332, 0.002886598, -0.00218201, 0.000324956, 0.0003097306
49, 2495, 0.6900201, 0.1066228, 0.3135211, 0.0005410278, 0.0003297266, -6.168688E-05, 6.510402E-05
50, 2544.9, 0.6925248, 0.03258266, 0.01171219, 0.001070185, 0.002349724, -8.292966E-05, 0.0001495565
51, 2594.8, 0.7217658, 0.04792874, 0.2500642, 0.0009431343, -0.0006863372, -0.0001366318, 6.991239E-05
52, 2644.7, 0.7339237, 0.03309711, 0.01724639, 0.0006034597, 0.002986853, -8.949269E-06, 6.856321E-07
53, 2694.6, 0.6707731, 0.01704836, 0.003522913, 0.0002187143, 0.0001122667, -5.689443E-05, 7.738735E-05
54, 2744.5, 0.6884151, 0.02480172, 0.005012735, 0.0008636197, -0.0008908194, -0.0004065412, 0.0001721743
55, 2794.4, 0.7118002, 0.02075114, 0.02978521, 0.002759501, 0.003626353, -0.0001802465, -0.001165938
56, 2844.3, 0.6673388, 0.01025157, 0.01960352, 0.002123154, 0.0006638732, -0.0004492915, 0.0009134519
57, 2894.2, 0.7303758, 0.02571797, 0.008614955, 0.0004391943, 0.001570467, -0.0001220926, 2.828307E-07
58, 2944.1, 0.6836018, 0.0265446, 0.005887576, 0.002699418, -0.0006080345, 0.00032167, 0.0006961068
59, 2994, 0.7181557, 0.01540648, 0.004762351, 0.002149241, -0.003337909, -0.0002180299, 0.0003234766
60, 3043.9, 0.7048604, 0.02549975, 0.01277017, 0.0009691441, -0.004135447, 1.473268E-05, -0.0002096135
61, 3093.8, 0.6527456, 0.03735122, 0.3282327, 0.1064874, -0.0005196222, -0.000144835, 0.05148515
62, 3143.7, 0.6961595, 0.03141664, 0.01445407, 0.001151887, 0.000255329, 3.742571E-05, 2.164506E-05
63, 3193.6, 0.7220179, 0.02237086, 0.01689569, 0.005946578, 0.0001659855, -0.0004965645, -0.0005202777
64, 3243.5, 0.7443894, 0.02638645, 0.006696529, 0.0006994305, -0.00230106, 7.326662E-05, 1.82464E-05
65, 3293.4, 0.7397767, 0.02957821, 0.005422378, 0.003160849, -0.0001966539, -0.0004809654, 2.849376E-05
66, 3343.3, 0.7402757, 0.02067291, 0.006038857, 0.000970475, -9.861381E-09, 4.374038E-05, -0.0001176999
67, 3393.2, 0.7253934, 0.02831052, 0.01187212, 0.0003461317, -0.002611253, -4.218465E-05, -2.450542E-05
68, 3443.1, 0.6772435, 0.05836342, 0.05975273, 0.0046395, 0.002243099, -2.430397E-05, -0.0004122306
69, 3493, 0.7219887, 0.0131483, 0.01442883, 0.001927436, -0.002764584, -0.0002708496, 0.0002079358
70, 3542.9, 0.6839439, 0.01911986, 0.01143114, 0.001947931, -0.001821523, -0.000221143, -2.70633E-05
71, 3592.8, 0.7444694, 0.01262305, 0.005002496, 0.001631914, -9.031501E-08, -0.0006138156, -0.0001596534
72, 3642.7, 0.6907314, 0.03111046, 0.02310412, 0.006425405, 0.002602111, 0.001388845, 0.0006016867
73, 3692.6, 0.7380886, 0.01573114, 0.009290474, 0.001038033, -2.518417E-07, -8.070941E-05, 0.0004675236
74, 3742.5, 0.6924887, 0.006806374, 0.008915706, 0.0004768641, -2.00736E-08, -1.564073E-05, 4.280595E-05
