Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
0, 49.9, 0.04163427, 0.6598409, 2.190031, 0.9545078, -0.01285356, 0.03704699, -0.1948355
1, 99.8, 0.04327827, 2.714216, 1.944275, 0.4398596, 0.004066888, -0.04915438, -0.06092922
2, 149.7, 0.05239783, 0.4024855, 2.227087, 0.8596804, -0.01432703, -0.1230398, 0.1166382
3, 199.6, 0.0617226, 0.3081426, 2.22862, 0.7017891, 0.00811466, 0.03656521, -0.03990644
4, 249.5, 0.1006101, 1.78488, 1.19335, 0.1597636, 0.01639854, 0.0674762, 0.04934387
5, 299.4, 0.07286293, 3.410018, 0.9804515, 0.208218, 0.01726233, -0.02521365, 0.1344019
6, 349.3, 0.1064717, 1.530166, 1.239564, 0.1960781, 0.02698268, 0.009415265, 0.08856849
7, 399.2, 0.09475616, 1.321299, 1.349743, 0.4165767, -0.01195039, -0.07507847, -0.05705997
8, 449.1, 0.08567823, 2.460216, 1.302567, 0.1934421, 0.004231489, 0.04216165, 0.04738232
9, 499, 0.08365335, 2.1742, 1.119509, 0.3944683, -0.03551264, 0.08370346, -0.1022724
10, 548.9, 0.08211273, 2.034563, 1.447376, 0.1556362, 0.009999769, 0.03504325, 0.0843497
11, 598.8, 0.1014799, 1.5594, 1.248279, 0.1934042, 0.0277423, 0.02755932, -0.03387935
12, 648.7, 0.1072994, 1.350613, 0.9164438, 0.5993082, -0.002128839, 0.07342591, 0.0625493
13, 698.6, 0.1222536, 1.578299, 0.9123127, 0.4104514, -0.01383163, 0.08737569, 0.2122948
14, 748.5, 0.1056835, 1.361484, 1.277681, 0.2596538, 0.02063684, 0.0468262, 0.005356561
15, 798.4, 0.1227576, 1.193993, 0.9768794, 0.3453515, 0.003033488, 0.01336783, -0.02671058
16, 848.3, 0.1090397, 1.574977, 1.151605, 0.2483021, -0.008624649, 0.1276698, 0.01558948
17, 898.2, 0.1055446, 2.267511, 1.083757, 0.09879116, -0.009736566, -0.1341495, 0.1112288
18, 948.1, 0.124521, 2.068286, 0.8692977, 0.2056579, -0.05888232, -0.1054763, -0.07428218
19, 998, 0.1407389, 1.055907, 0.8967084, 0.350187, 0.002689201, -0.07084149, -0.02908051
20, 1047.9, 0.1225146, 0.7599591, 1.10782, 0.5050807, 0.001133586, 0.1009101, -0.1208039
21, 1097.8, 0.1149649, 1.505698, 1.193811, 0.2903125, 0.01499491, 0.01846541, -0.05274041
22, 1147.7, 0.1184615, 0.7183219, 1.014141, 0.6453363, -0.01399916, 0.03658539, -0.1888127
23, 1197.6, 0.1213697, 1.01755, 1.073982, 0.4290788, 0.02702678, -0.04987353, -0.01584758
24, 1247.5, 0.1255238, 1.065495, 0.8718395, 0.5634441, -0.01208138, -0.1403534, -0.02729963
25, 1297.4, 0.119865, 1.262661, 1.041128, 0.2559596, 0.0002893249, 0.002433373, -0.1261253
26, 1347.3, 0.1058045, 1.2358, 1.116286, 0.5796787, 0.003673991, 0.1048659, 0.1114399
27, 1397.2, 0.11614, 1.047464, 1.23742, 0.4895228, -0.003071084, -0.1301178, -0.08513346
28, 1447.1, 0.1384354, 1.529485, 0.8337246, 0.304153, 0.009651698, -0.03999791, -0.08084947
29, 1497, 0.1308898, 1.225778, 0.9928427, 0.2840869, -0.0130955, 0.0145893, 0.05901577
30, 1546.9, 0.1241152, 1.169806, 0.9233414, 0.5385389, -0.001922962, 0.06645791, 0.07865819
31, 1596.8, 0.147131, 1.388017, 0.7311112, 0.1893053, -0.001485758, -0.01118953, 0.01745091
32, 1646.7, 0.1240621, 0.9350893, 1.152862, 0.4394762, -0.001543197, 0.06404329, 0.07424907
33, 1696.6, 0.134718, 1.145225, 0.9067482, 0.3831384, -0.01459537, -0.07619622, 0.1323244
34, 1746.5, 0.1195403, 1.633013, 0.9740293, 0.2367161, -0.003792113, -0.002816415, -0.001894444
35, 1796.4, 0.1323921, 1.133098, 1.182245, 0.2920863, -0.001071852, 0.07321837, -0.1485652
36, 1843.78, 0.1102522, 1.545816, 1.099717, 0.469256, -0.004191944, 0.07007574, 0.07261996
37, 1893.68, 0.1296592, 1.810672, 0.8306218, 0.1989215, -0.02858987, -0.09972325, -0.03832369
38, 1943.58, 0.12356, 2.34429, 0.8752118, 0.2971448, 0.009373704, 0.1214217, -0.03175631
39, 1993.48, 0.1308655, 1.375805, 0.7571107, 0.3195314, 0.0007837793, -0.008635294, 0.05339099
40, 2043.38, 0.1260909, 1.118265, 1.044876, 0.2230004, 0.1004701, -0.0351995, 0.02630362
41, 2093.28, 0.1225824, 1.354436, 1.212431, 0.2815087, 0.00260218, 0.06882163, 0.03197457
42, 2141.64, 0.1168182, 1.981093, 1.136079, 0.1966083, -0.003423819, -0.008470399, -0.1395788
43, 2191.54, 0.1396749, 1.545125, 0.9477326, 0.1451079, -0.002071961, -0.033719, 0.008021817
44, 2241.44, 0.1019874, 1.288502, 1.413541, 0.3870651, 0.07411239, 0.09931053, -0.03154417
45, 2291.34, 0.1281101, 1.149049, 1.069828, 0.2636598, -0.005272454, 0.005110253, 0.05466043
46, 2341.24, 0.1416772, 1.230472, 0.847653, 0.343574, 0.008770173, 0.06325983, -0.02767663
47, 2391.14, 0.1659303, 1.479746, 0.6881644, 0.2462628, 0.05247265, -0.06473327, 0.141048
48, 2441.04, 0.1481516, 1.043037, 0.872881, 0.3692693, 0.01647166, -0.02817756, -0.05947035
49, 2490.94, 0.1862004, 0.8558936, 0.6886994, 0.3106683, 0.03830507, 0.05031659, 0.02462356
50, 2540.84, 0.1874011, 0.9883564, 0.6624483, 0.2066754, -0.001180418, -0.03653201, 0.02442362
51, 2590.56, 0.1759612, 0.6895231, 0.8558598, 0.2834454, 0.002288524, 0.0385785, -0.1162088
52, 2640.46, 0.165814, 1.124089, 0.928812, 0.2323453, 0.06387171, 0.06048485, -0.0132444
53, 2690.36, 0.1980759, 0.7745956, 0.5991217, 0.2907704, 0.01662005, 0.06623557, 0.04862304
54, 2740.26, 0.1790586, 1.018597, 0.8062674, 0.2248056, -0.03979065, 0.09820873, 0.01670147
55, 2790.16, 0.1861439, 1.221042, 0.8410355, 0.162613, -0.02017445, -0.0005166973, 0.05863151
56, 2840.06, 0.1994759, 0.6546738, 0.6599735, 0.2851277, 0.05943738, -0.0367458, -0.0001544589
57, 2889.96, 0.2099514, 0.458281, 0.6118901, 0.3803169, -0.01139998, -0.01163925, -0.0633067
58, 2939.48, 0.1925433, 0.6549692, 0.6536853, 0.3526721, 0.0490002, -0.06787755, 0.06157025
59, 2989.38, 0.1957779, 0.815496, 0.6382836, 0.2524424, 0.04556222, 0.02929498, -0.01172801
60, 3039.28, 0.2391372, 0.4747865, 0.5507883, 0.2374754, 0.05341824, 0.03298524, 0.02570749
61, 3089.18, 0.1965987, 0.7244973, 0.6037916, 0.3462678, -0.03258618, -0.08299979, -0.0838368
