Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
0, 49.9, 0.2950236, 2.307987, 2.288446, 0.1394535, 0.01408232, 0.2020086, 0.2197534
1, 99.8, 0.2964115, 2.64841, 2.670362, 0.3125973, -0.008701592, 0.2425595, 0.192358
2, 149.7, 0.3275449, 2.264175, 1.472026, 0.07711734, -0.006813338, 0.2127922, 0.1890744
3, 199.6, 0.3074429, 2.25244, 1.266624, 0.06978899, 0.01426291, 0.1813608, 0.1948026
4, 249.5, 0.3168687, 1.553887, 1.490036, 0.09934527, 0.01450861, 0.2161939, 0.2378593
5, 299.4, 0.3264576, 3.329906, 1.417706, 0.07100384, 0.01191395, 0.1939656, 0.1974401
6, 349.3, 0.3360574, 2.95291, 1.576716, 0.01623771, -0.001649481, 0.2057433, 0.2075325
7, 399.2, 0.3156513, 2.845742, 1.225637, 0.06231223, 0.01080246, 0.1815358, 0.1912517
8, 449.1, 0.3174134, 1.335548, 1.335703, 0.2319299, 0.03736612, 0.2065293, 0.2497241
9, 499, 0.3554586, 2.475898, 1.354109, 0.05986856, 0.014564, 0.183517, 0.1931482
10, 548.9, 0.3303068, 1.666488, 2.165996, 0.5874302, 0.02801981, 0.1386766, 0.1495456
11, 598.8, 0.3657636, 2.244957, 2.411504, 0.0828779, -0.002378203, 0.2027983, 0.1947353
12, 648.7, 0.3282037, 1.999586, 1.292936, 0.03679825, 0.01073554, 0.199089, 0.2032983
13, 698.6, 0.3579706, 2.285841, 1.355568, 0.07897938, 0.00875322, 0.2233087, 0.2061241
14, 748.5, 0.3614149, 2.044674, 1.307805, 0.1621413, -0.003152111, 0.2162366, 0.238034
15, 798.4, 0.3592493, 2.147217, 3.038389, 0.1679534, 0.002338746, 0.1980962, 0.1539347
16, 848.3, 0.3446718, 1.97525, 2.83094, 0.2558143, 0.007582062, 0.2030795, 0.1191514
17, 898.2, 0.3420379, 2.82147, 1.603074, 0.08314317, 0.01360777, 0.201774, 0.2032839
